Work package number,Work package title,Objective,Progress per work package,Progress per action,Action number,Action text / scope,Source action grouping,Next steps per action,Source page(s)
WP11,Special Envoy Review,"To ensure the Secretary-General's special envoys, representatives, coordinators and advisers provide optimal impact and efficiency.","A mapping of other special envoys, representatives, coordinators and advisers has been completed. Secretariat entities have also been asked to review positions at levels D-1 and above and to propose reductions or downward reclassifications in the Proposed Programme Budget for 2027. The position of Special Coordinator for Development in the Sahel was discontinued and the associated office closed at the end of 2025.","A mapping of other special envoys, representatives, coordinators and advisers has been completed. Secretariat entities have also been asked to review positions at levels D-1 and above and to propose reductions or downward reclassifications in the Proposed Programme Budget for 2027.",Action 45,"Review special envoy, representative, coordinator and adviser roles to identify redundancies and streamline senior leadership structures.",Action 45,Relevant proposals will be included in the Proposed Programme Budget for 2027. A decision by the General Assembly on such proposals is required through its budget process.,p. 24
WP11,Special Envoy Review,"To ensure the Secretary-General's special envoys, representatives, coordinators and advisers provide optimal impact and efficiency.","A mapping of other special envoys, representatives, coordinators and advisers has been completed. Secretariat entities have also been asked to review positions at levels D-1 and above and to propose reductions or downward reclassifications in the Proposed Programme Budget for 2027. The position of Special Coordinator for Development in the Sahel was discontinued and the associated office closed at the end of 2025.",The position of Special Coordinator for Development in the Sahel was discontinued and the associated office closed at the end of 2025.,Action 38,Abolish the Special Coordinator for Development in the Sahel post and reassign functions to existing entities.,Action 38,No further action is required.,p. 24
WP13,Shared Platform Initiative,To support and empower Resident and Humanitarian Coordinators (RC/HCs) to strengthen cross-pillar collaboration.,"The action plan has been finalized under joint leadership of the Deputy Secretary-General and the Emergency Relief Coordinator. Co-location of OCHA and Resident Coordinator Offices has been agreed as the standard approach for all 23 locations (43%) where this is not yet the case. The first-ever common performance-management framework for RC/HCs has been finalized. The framework for accountability between RCs and UN country teams is being revised with clearer guidance for crisis settings, alongside improved accountability arrangements for HCs. Joint transition planning has been initiated for eight countries moving out of large-scale humanitarian response, including allocations from the RC System Rapid Release Fund and additional surge capacity.","The action plan has been finalized under joint leadership of the Deputy Secretary-General and the Emergency Relief Coordinator. Co-location of OCHA and Resident Coordinator Offices has been agreed as the standard approach for all 23 locations (43%) where this is not yet the case. The first-ever common performance-management framework for RC/HCs has been finalized. The framework for accountability between RCs and UN country teams is being revised with clearer guidance for crisis settings, alongside improved accountability arrangements for HCs. Joint transition planning has been initiated for eight countries moving out of large-scale humanitarian response, including allocations from the RC System Rapid Release Fund and additional surge capacity.",Action 19,"Initiate a time-bound action plan to accelerate co-location of offices, shift to common performance management, clarify management and accountability frameworks and join up strategies for countries in transition.",Action 19,"Implementation of the action plan will be completed by the end of 2026, with first deliverables in place by August. Final parts of the common performance-management system will be ready for launch in 2027. Member States will be informed of progress through a Secretary-General's information brief in May and the Secretary-General's 2026 report on QCPR implementation to ECOSOC in May.",p. 25
WP13,Shared Platform Initiative,To support and empower Resident and Humanitarian Coordinators (RC/HCs) to strengthen cross-pillar collaboration.,"The action plan has been finalized under joint leadership of the Deputy Secretary-General and the Emergency Relief Coordinator. Co-location of OCHA and Resident Coordinator Offices has been agreed as the standard approach for all 23 locations (43%) where this is not yet the case. The first-ever common performance-management framework for RC/HCs has been finalized. The framework for accountability between RCs and UN country teams is being revised with clearer guidance for crisis settings, alongside improved accountability arrangements for HCs. Joint transition planning has been initiated for eight countries moving out of large-scale humanitarian response, including allocations from the RC System Rapid Release Fund and additional surge capacity.",n/a,Action 57,"Simplify the main planning tools used by RC/HCs and their teams, including Cooperation Frameworks, Humanitarian Response Plans and Peacebuilding Strategies.",Action 57,"Building on the simplification of Humanitarian Response Plans and improved Cooperation Framework guidance, a dedicated effort will be made to streamline overlapping planning processes. Member States will be informed through a Secretary-General's information brief. No decision of an intergovernmental organ is envisaged at this stage.",p. 25
WP14,Unified Services Roadmap,To reduce fragmentation in UN system support services and make them more cost-effective.,"An outline of the Unified Services Roadmap (USR) has been completed, bringing together the prior work of the High-Level Committee on Management and the Business Innovation Group in a single framework with joint governance and public dashboards. Overall, the USR encompasses far-reaching efficiency initiatives (time-bound projects), global shared services (location-independent services) and common back offices (location-dependent services), across six service categories: procurement and supply chain, finance, ICT, logistics, human resources, and administration. The USR will reinforce horizontal enablers of programme delivery, including staff safety and security. At global level, a study to help sequence the expansion of shared services, and the implementation of the far-reaching efficiency initiatives, have also advanced. At country level, common back offices are being launched in additional countries, with ""self-starter"" training supporting further expansion. In parallel, the tools and methods needed to strengthen cost transparency have been developed, with country team pilots under way.","An outline of the Unified Services Roadmap (USR) has been completed, bringing together the prior work of the High-Level Committee on Management and the Business Innovation Group in a single framework with joint governance and public dashboards. At global level, a study to help sequence the expansion of shared services, and the implementation of the far-reaching efficiency initiatives, have advanced.",Action 63,"Develop a Unified Services Roadmap, supported by a system-wide assessment of where sharing of global services would have the greatest impact.","Actions 63, 65",The study for global shared services expansion will be finalized by June. The full Unified Services Roadmap and a dashboard will be shared with Member States through a Secretary-General's information brief in June. No decision of an intergovernmental organ is envisaged at this stage.,pp. 26-27
WP14,Unified Services Roadmap,To reduce fragmentation in UN system support services and make them more cost-effective.,"An outline of the Unified Services Roadmap (USR) has been completed, bringing together the prior work of the High-Level Committee on Management and the Business Innovation Group in a single framework with joint governance and public dashboards. Overall, the USR encompasses far-reaching efficiency initiatives (time-bound projects), global shared services (location-independent services) and common back offices (location-dependent services), across six service categories: procurement and supply chain, finance, ICT, logistics, human resources, and administration. The USR will reinforce horizontal enablers of programme delivery, including staff safety and security. At global level, a study to help sequence the expansion of shared services, and the implementation of the far-reaching efficiency initiatives, have also advanced. At country level, common back offices are being launched in additional countries, with ""self-starter"" training supporting further expansion. In parallel, the tools and methods needed to strengthen cost transparency have been developed, with country team pilots under way.","An outline of the Unified Services Roadmap (USR) has been completed, bringing together the prior work of the High-Level Committee on Management and the Business Innovation Group in a single framework with joint governance and public dashboards. At global level, a study to help sequence the expansion of shared services, and the implementation of the far-reaching efficiency initiatives, have advanced.",Action 65,"Develop a Unified Services Roadmap, supported by a system-wide assessment of where sharing of global services would have the greatest impact.","Actions 63, 65",The study for global shared services expansion will be finalized by June. The full Unified Services Roadmap and a dashboard will be shared with Member States through a Secretary-General's information brief in June. No decision of an intergovernmental organ is envisaged at this stage.,pp. 26-27
WP14,Unified Services Roadmap,To reduce fragmentation in UN system support services and make them more cost-effective.,"An outline of the Unified Services Roadmap (USR) has been completed, bringing together the prior work of the High-Level Committee on Management and the Business Innovation Group in a single framework with joint governance and public dashboards. Overall, the USR encompasses far-reaching efficiency initiatives (time-bound projects), global shared services (location-independent services) and common back offices (location-dependent services), across six service categories: procurement and supply chain, finance, ICT, logistics, human resources, and administration. The USR will reinforce horizontal enablers of programme delivery, including staff safety and security. At global level, a study to help sequence the expansion of shared services, and the implementation of the far-reaching efficiency initiatives, have also advanced. At country level, common back offices are being launched in additional countries, with ""self-starter"" training supporting further expansion. In parallel, the tools and methods needed to strengthen cost transparency have been developed, with country team pilots under way.",n/a,Action 64,"Integrate supply chains, with the Humanitarian Compact as an early test case for wider service integration.",Action 64,"Work on supply-chain integration will continue in 2026 as part of the New Humanitarian Compact (Work Package 2), and expanded beyond initial humanitarian applications on the basis of demonstrated results. No decision of an intergovernmental organ is envisaged at this stage.",pp. 26-27
WP14,Unified Services Roadmap,To reduce fragmentation in UN system support services and make them more cost-effective.,"An outline of the Unified Services Roadmap (USR) has been completed, bringing together the prior work of the High-Level Committee on Management and the Business Innovation Group in a single framework with joint governance and public dashboards. Overall, the USR encompasses far-reaching efficiency initiatives (time-bound projects), global shared services (location-independent services) and common back offices (location-dependent services), across six service categories: procurement and supply chain, finance, ICT, logistics, human resources, and administration. The USR will reinforce horizontal enablers of programme delivery, including staff safety and security. At global level, a study to help sequence the expansion of shared services, and the implementation of the far-reaching efficiency initiatives, have also advanced. At country level, common back offices are being launched in additional countries, with ""self-starter"" training supporting further expansion. In parallel, the tools and methods needed to strengthen cost transparency have been developed, with country team pilots under way.","At country level, common back offices are being launched in additional countries, with self-starter training supporting further expansion.",Action 66,Scale common back offices at country level so that support can be delivered with less duplication on the ground.,Action 66,Common country back offices will be established in additional countries through 2026. No decision of an intergovernmental organ is envisaged at this stage.,pp. 26-27
WP14,Unified Services Roadmap,To reduce fragmentation in UN system support services and make them more cost-effective.,"An outline of the Unified Services Roadmap (USR) has been completed, bringing together the prior work of the High-Level Committee on Management and the Business Innovation Group in a single framework with joint governance and public dashboards. Overall, the USR encompasses far-reaching efficiency initiatives (time-bound projects), global shared services (location-independent services) and common back offices (location-dependent services), across six service categories: procurement and supply chain, finance, ICT, logistics, human resources, and administration. The USR will reinforce horizontal enablers of programme delivery, including staff safety and security. At global level, a study to help sequence the expansion of shared services, and the implementation of the far-reaching efficiency initiatives, have also advanced. At country level, common back offices are being launched in additional countries, with ""self-starter"" training supporting further expansion. In parallel, the tools and methods needed to strengthen cost transparency have been developed, with country team pilots under way.","The tools and methods needed to strengthen cost transparency have been developed, with country team pilots under way.",Action 67,Improve cost transparency through common tools and reports so that efficiency gains can be tracked more clearly.,Action 67,Cost-transparency tools and methods will be rolled out across more country operations by June. No decision of an intergovernmental organ is envisaged at this stage.,pp. 26-27
WP15,Technology,"To have the UN system make better use of shared core technology services, common technology expertise and modern tools.","The first UN system-wide ICT baseline survey has been completed and opportunities for greater sharing of core services are being identified. Three initial priority use cases for the TAP have been agreed: AI toolboxes for translation and conferencing, an online platform to enable the work on expertise-on-demand (Work Package 8), and shared digital ID solutions (Work Packages 2 and 14).",The first UN system-wide ICT baseline survey has been completed and opportunities for greater sharing of core services are being identified.,Action 61,"Expand the use of shared core ICT services, including for cloud, network and basic enterprise systems, with the UN system making better use of common providers, reducing duplication and improving quality and interoperability.",Action 61,"Building on the baseline survey results, an initial outline for sharing of core ICT services will be prepared in May. Following review, a full proposal will be presented to the Secretary-General in June. Implementation will proceed through phased expansion of shared ICT services, as part of the Unified Services Roadmap (Work Package 14), with an information brief for Member States in June.",p. 28
WP15,Technology,"To have the UN system make better use of shared core technology services, common technology expertise and modern tools.","The first UN system-wide ICT baseline survey has been completed and opportunities for greater sharing of core services are being identified. Three initial priority use cases for the TAP have been agreed: AI toolboxes for translation and conferencing, an online platform to enable the work on expertise-on-demand (Work Package 8), and shared digital ID solutions (Work Packages 2 and 14).","Three initial priority use cases for the TAP have been agreed: AI toolboxes for translation and conferencing, an online platform to enable the work on expertise-on-demand (Work Package 8), and shared digital ID solutions (Work Packages 2 and 14).",Action 62,"Establish a Technology Accelerator Platform (TAP) to identify common demands, develop solution portfolios, and mobilize pooled capacity for better shared technology solutions that modernize and upgrade the work of the UN system.",Action 62,"An initial outline of the TAP concept will be prepared in May. Detailed proposals and implementation plans for the endorsed use cases, including governance, staffing and financing, will be submitted to the Secretary-General by July, for an information brief for Member States in July. Subject to approval and available resources, initial use cases will be active by September. No decision of an intergovernmental organ is envisaged at this stage.",p. 28
WP16,UN System Data Commons,"To make publicly available UN data easier to access and use, and to build stronger joint data capacity over time.","An initial Data Commons platform is being developed, formally encouraged by the Statistical Commission, with 25 entities now committed to contribute data to the next phase, as well as know-how or resources. A core delivery team and seed resources have been mobilized. A joint programme proposal is in development to sustain the shared platform and deepen progress on joint standards, production workflows, data maturity and AI readiness.","An initial Data Commons platform is being developed, formally encouraged by the Statistical Commission, with 25 entities committed to contribute data to the next phase, as well as know-how or resources. A core delivery team and seed resources have been mobilized.",Action 73,Build a shared UN System Data Commons platform so that public data and statistics from different entities can be accessed in one place (data.un.org) and used reliably with AI tools.,Action 73,"The Data Commons platform will be expanded, including the onboarding of datasets from all 25 participating entities, with a public launch in September.",p. 29
WP16,UN System Data Commons,"To make publicly available UN data easier to access and use, and to build stronger joint data capacity over time.","An initial Data Commons platform is being developed, formally encouraged by the Statistical Commission, with 25 entities now committed to contribute data to the next phase, as well as know-how or resources. A core delivery team and seed resources have been mobilized. A joint programme proposal is in development to sustain the shared platform and deepen progress on joint standards, production workflows, data maturity and AI readiness.","A joint programme proposal is in development to sustain the shared platform and deepen progress on joint standards, production workflows, data maturity and AI readiness. A core delivery team and seed resources have been mobilized.",Action 74,"Establish a joint programme, with shared governance, resources, teams and tools, to sustain the UN System Data Commons and improve the coherence, quality and future readiness of system-wide data work over time.","Actions 74, 75","The joint programme proposal will be shared for consideration by participating entities, potential partners and the Secretary-General by July, with phased implementation beginning thereafter, including an information brief in September. No decision of an intergovernmental organ is envisaged at this stage.",p. 29
WP16,UN System Data Commons,"To make publicly available UN data easier to access and use, and to build stronger joint data capacity over time.","An initial Data Commons platform is being developed, formally encouraged by the Statistical Commission, with 25 entities now committed to contribute data to the next phase, as well as know-how or resources. A core delivery team and seed resources have been mobilized. A joint programme proposal is in development to sustain the shared platform and deepen progress on joint standards, production workflows, data maturity and AI readiness.","A joint programme proposal is in development to sustain the shared platform and deepen progress on joint standards, production workflows, data maturity and AI readiness. A core delivery team and seed resources have been mobilized.",Action 75,"Establish a joint programme, with shared governance, resources, teams and tools, to sustain the UN System Data Commons and improve the coherence, quality and future readiness of system-wide data work over time.","Actions 74, 75","The joint programme proposal will be shared for consideration by participating entities, potential partners and the Secretary-General by July, with phased implementation beginning thereafter, including an information brief in September. No decision of an intergovernmental organ is envisaged at this stage.",p. 29
WP17,Training and Research,"To make the UN system's training and research activities more coherent, more integrated and more useful.","For the proposed merger of UNSSC into UNITAR, a structured design process is under way, supported by outside expertise and consultations with Boards, Member States, UN system staff and other stakeholders. For the proposed integration of UNRISD into UNU, consultations on the arrangements are being undertaken, including with the UNRISD Board and the UNU Council. For the coordination mechanism, mapping of training and research functions is complete and a blueprint for the mechanism has been developed.","For the proposed merger of UNSSC into UNITAR, a structured design process is under way, supported by outside expertise and consultations with Boards, Member States, UN system staff and other stakeholders.",Action 68,Merge UNSSC into UNITAR to create a more coherent and efficient system-wide training and capacity-building offer for UN system personnel and Member States.,Action 68,"A draft merger proposal will be ready by May, for consideration by the Boards of UNITAR and UNSSC in June. It will be transmitted to the Secretary-General as the basis for his report in July to the General Assembly with a view to a decision during the eightieth session.",p. 30
WP17,Training and Research,"To make the UN system's training and research activities more coherent, more integrated and more useful.","For the proposed merger of UNSSC into UNITAR, a structured design process is under way, supported by outside expertise and consultations with Boards, Member States, UN system staff and other stakeholders. For the proposed integration of UNRISD into UNU, consultations on the arrangements are being undertaken, including with the UNRISD Board and the UNU Council. For the coordination mechanism, mapping of training and research functions is complete and a blueprint for the mechanism has been developed.","For the proposed integration of UNRISD into UNU, consultations on the arrangements are being undertaken, including with the UNRISD Board and the UNU Council.",Action 69,"Integrate UNRISD into UNU to better align research, strengthen policy relevance and impact.",Action 69,"An initial integration proposal will be ready for consideration by the UNRISD Board and UNU Council in May and June, respectively. The outcome will be submitted to the Secretary-General for decision. Integration would additionally require a UNU Council decision to establish UNRISD as a UNU institute. Any required revision of the Secretary-General's Bulletin (UNRISD) would follow. No decision of an intergovernmental organ is envisaged.",p. 30
WP17,Training and Research,"To make the UN system's training and research activities more coherent, more integrated and more useful.","For the proposed merger of UNSSC into UNITAR, a structured design process is under way, supported by outside expertise and consultations with Boards, Member States, UN system staff and other stakeholders. For the proposed integration of UNRISD into UNU, consultations on the arrangements are being undertaken, including with the UNRISD Board and the UNU Council. For the coordination mechanism, mapping of training and research functions is complete and a blueprint for the mechanism has been developed.","For the coordination mechanism, mapping of training and research functions is complete and a blueprint for the mechanism has been developed.",Action 72,Establish a joint coordination mechanism to improve coordination of training and research activities across the wider UN system.,Action 72,"The joint system-wide coordination mechanism is being developed by UNU and UNITAR, with a proposed blueprint to be submitted for the Secretary-General's consideration in May. An information brief for Member States will follow in July. No decision of an intergovernmental organ is envisaged.",p. 30
WP18,Funding Mechanisms,To make core and pooled funding more attractive and effective.,"System-wide mapping and analysis have been completed across pooled funding, core funding and Funding Compact review mechanisms. This work has been supported by consultations with Member States, contributors and UN system entities. Initial findings show fragmentation across pooled funds, uneven costing and governance, structural disadvantages affecting core funding, and gaps in current Funding Compact review arrangements.","System-wide mapping and analysis have been completed across pooled funding. This work has been supported by consultations with Member States, contributors and UN system entities. Initial findings show fragmentation across pooled funds, uneven costing and governance.",Action 76,Assess pooled funding arrangements across the UN system and develop recommendations to improve the portfolio of major pooled funds.,"Actions 76, 77","Consultations will continue through May and June, leading to a final assessment and recommendations on better pooled funding by the end of June for consideration by the Secretary-General and an information brief for Member States in July. No decision of an intergovernmental organ is envisaged at this stage.",p. 31
WP18,Funding Mechanisms,To make core and pooled funding more attractive and effective.,"System-wide mapping and analysis have been completed across pooled funding, core funding and Funding Compact review mechanisms. This work has been supported by consultations with Member States, contributors and UN system entities. Initial findings show fragmentation across pooled funds, uneven costing and governance, structural disadvantages affecting core funding, and gaps in current Funding Compact review arrangements.","System-wide mapping and analysis have been completed across pooled funding. This work has been supported by consultations with Member States, contributors and UN system entities. Initial findings show fragmentation across pooled funds, uneven costing and governance.",Action 77,Assess pooled funding arrangements across the UN system and develop recommendations to improve the portfolio of major pooled funds.,"Actions 76, 77","Consultations will continue through May and June, leading to a final assessment and recommendations on better pooled funding by the end of June for consideration by the Secretary-General and an information brief for Member States in July. No decision of an intergovernmental organ is envisaged at this stage.",p. 31
WP18,Funding Mechanisms,To make core and pooled funding more attractive and effective.,"System-wide mapping and analysis have been completed across pooled funding, core funding and Funding Compact review mechanisms. This work has been supported by consultations with Member States, contributors and UN system entities. Initial findings show fragmentation across pooled funds, uneven costing and governance, structural disadvantages affecting core funding, and gaps in current Funding Compact review arrangements.","System-wide mapping and analysis have been completed across core funding. This work has been supported by consultations with Member States, contributors and UN system entities. Initial findings show structural disadvantages affecting core funding.",Action 78,Develop proposals to make core funding more attractive.,Action 78,"Further work and consultations with Member States will continue through May and June, leading to recommendations by the end of June for consideration by the Secretary-General, and information brief in July. No decision of an intergovernmental organ is envisaged at this stage.",p. 31
WP18,Funding Mechanisms,To make core and pooled funding more attractive and effective.,"System-wide mapping and analysis have been completed across pooled funding, core funding and Funding Compact review mechanisms. This work has been supported by consultations with Member States, contributors and UN system entities. Initial findings show fragmentation across pooled funds, uneven costing and governance, structural disadvantages affecting core funding, and gaps in current Funding Compact review arrangements.","System-wide mapping and analysis have been completed across Funding Compact review mechanisms. This work has been supported by consultations with Member States, contributors and UN system entities. Initial findings show gaps in current Funding Compact review arrangements.",Action 91,Develop a more coherent Funding Compact review architecture.,Action 91,Recommendations contained in the Secretary-General's report on QCPR implementation in May will be considered during the ECOSOC Operational Activities Segment.,p. 31
WP19,Mandate Creation Support,To facilitate Member State decision-making by providing enhanced Secretariat services during mandate creation.,"The General Assembly adopted A/RES/80/251 in March, requesting enhanced Secretariat support in connection with mandate creation, implementation and review. Mapping of support currently being provided across mandating organs has been completed. Enhanced functionalities of the mandate registry (Work Package 29), including analytical tools, have been rolled out. Initial work is under way to improve access to information relevant to decision-making across the mandate lifecycle, including on programme budget implications of mandated tasks.","The General Assembly adopted A/RES/80/251 in March, requesting enhanced Secretariat support in connection with mandate creation, implementation and review. Mapping of support currently being provided across mandating organs has been completed. Initial work is under way to improve access to information relevant to decision-making across the mandate lifecycle.",Action 80,"Strengthen Secretariat support to Member States during mandate creation through improved tools, guidance and mapping of existing capacities; enhance information on programme budget implications with system-wide data and tools.","Actions 80, 83","Action plans to enhance support for mandate creation, including improved capacity and information on budget implications, will be prepared by June in line with A/RES/80/251. The Ad Hoc Working Group on Mandate Implementation Review will continue intergovernmental consideration of relevant issues until April 2027.",p. 33
WP19,Mandate Creation Support,To facilitate Member State decision-making by providing enhanced Secretariat services during mandate creation.,"The General Assembly adopted A/RES/80/251 in March, requesting enhanced Secretariat support in connection with mandate creation, implementation and review. Mapping of support currently being provided across mandating organs has been completed. Enhanced functionalities of the mandate registry (Work Package 29), including analytical tools, have been rolled out. Initial work is under way to improve access to information relevant to decision-making across the mandate lifecycle, including on programme budget implications of mandated tasks.","The General Assembly adopted A/RES/80/251 in March, requesting enhanced Secretariat support in connection with mandate creation, implementation and review. Initial work is under way to improve access to information relevant to decision-making across the mandate lifecycle, including on programme budget implications of mandated tasks.",Action 83,"Strengthen Secretariat support to Member States during mandate creation through improved tools, guidance and mapping of existing capacities; enhance information on programme budget implications with system-wide data and tools.","Actions 80, 83","Action plans to enhance support for mandate creation, including improved capacity and information on budget implications, will be prepared by June in line with A/RES/80/251. The Ad Hoc Working Group on Mandate Implementation Review will continue intergovernmental consideration of relevant issues until April 2027.",p. 33
WP19,Mandate Creation Support,To facilitate Member State decision-making by providing enhanced Secretariat services during mandate creation.,"The General Assembly adopted A/RES/80/251 in March, requesting enhanced Secretariat support in connection with mandate creation, implementation and review. Mapping of support currently being provided across mandating organs has been completed. Enhanced functionalities of the mandate registry (Work Package 29), including analytical tools, have been rolled out. Initial work is under way to improve access to information relevant to decision-making across the mandate lifecycle, including on programme budget implications of mandated tasks.","Mapping of support currently being provided across mandating organs has been completed. Enhanced functionalities of the mandate registry (Work Package 29), including analytical tools, have been rolled out.",Action 81,Improve visibility and coordination across mandating organs through system-wide mapping and a shared information platform.,Action 81,"A public-facing platform to improve visibility across mandating organs will be initiated in May, with full rollout by August.",p. 33
WP20,Budget and Programme Management,To strengthen programme and budget management by clearer assignment of mandate implementation responsibilities across the UN system and stronger internal oversight.,"Revised budget guidance has been issued for the Proposed Programme Budget for 2027, including instructions for the review of mandate citations and deliverables. Early results indicate a substantial improvement in the quantity and relevance of mandate citations. Terms of reference have been prepared for an assessment of ways to strengthen the internal strategic oversight and coordination of the UN system's division of labour.",Terms of reference have been prepared for an assessment of ways to strengthen the internal strategic oversight and coordination of the UN system's division of labour.,Action 88,Assess internal strategic oversight and coordination of the UN system's division of labour so that roles and responsibilities are clearer and duplication is reduced.,Action 88,"The assessment on internal strategic oversight will be submitted to the Secretary-General in September, with an information brief planned in October. No decision of an intergovernmental organ is envisaged at this stage.",p. 34
WP20,Budget and Programme Management,To strengthen programme and budget management by clearer assignment of mandate implementation responsibilities across the UN system and stronger internal oversight.,"Revised budget guidance has been issued for the Proposed Programme Budget for 2027, including instructions for the review of mandate citations and deliverables. Early results indicate a substantial improvement in the quantity and relevance of mandate citations. Terms of reference have been prepared for an assessment of ways to strengthen the internal strategic oversight and coordination of the UN system's division of labour.","Revised budget guidance has been issued for the Proposed Programme Budget for 2027, including instructions for the review of mandate citations. Early results indicate a substantial improvement in the quantity and relevance of mandate citations.",Action 89,Review mandate citations in the UN's Proposed Programme Budget so that entities cite only those mandates for which they have a comparative advantage.,Action 89,"The Proposed Programme Budget for 2027 will be finalized by May, reflecting improved mandate citations, and submitted to the General Assembly.",p. 34
WP20,Budget and Programme Management,To strengthen programme and budget management by clearer assignment of mandate implementation responsibilities across the UN system and stronger internal oversight.,"Revised budget guidance has been issued for the Proposed Programme Budget for 2027, including instructions for the review of mandate citations and deliverables. Early results indicate a substantial improvement in the quantity and relevance of mandate citations. Terms of reference have been prepared for an assessment of ways to strengthen the internal strategic oversight and coordination of the UN system's division of labour.","Revised budget guidance has been issued for the Proposed Programme Budget for 2027, including instructions for the review of deliverables.",Action 92,"Make better use of programme and budget processes to identify existing deliverables that can be streamlined, consolidated or, where appropriate, proposed for discontinuation.",Action 92,The Proposed Programme Budget for 2027 will show the resulting evolution of deliverables.,p. 34
WP21,System-wide Results Management,"To strengthen and harmonize how organizations in the UN system measure, manage and communicate their results.","A concept for a practical UN system-wide mechanism for Management for Results has been developed. A draft action plan has been outlined to improve how the link between mandates, resources and results can be articulated, focused on a select number of agreed system-wide results. Consultations with UN system entities and Member States are under way to test the concept, practical options and overall viability of the proposed mechanism.","A concept for a practical UN system-wide mechanism for Management for Results has been developed. A draft action plan has been outlined to improve how the link between mandates, resources and results can be articulated, focused on a select number of agreed system-wide results. Consultations with UN system entities and Member States are under way to test the concept, practical options and overall viability of the proposed mechanism.",Action 93,"Develop an action plan that will operationalize a system-wide Management for Results (M4R) mechanism that strengthens coherence, transparency and collective accountability across the UN system.",Action 93,"The action plan will be finalized for consideration by the Secretary-General by June, in implementation of resolution A/RES/80/251. A Secretary-General's information brief is planned for July. No decision of an intergovernmental organ is envisaged at this stage.",p. 35
WP29,Mandate Registries and Tools,To make mandate information and related tools easier for Member States to find and use.,"The pilot version of mandates.un.org was launched in October. It gives Member States a clearer view of the nearly 4,000 mandate sources cited by UN entities in support of their Proposed Programme Budget for 2026. Since then, new features have been added, including tools to compare successive versions of resolutions. A timeline has been set for further improvements. More than 100 entities have reviewed the citations for their Proposed Programme Plans for 2027, leading to significant reductions in citations. Work is also under way on additional digital tools, in line with the requests by Member States in A/RES/80/251.","The pilot version of mandates.un.org was launched in October. It gives Member States a clearer view of nearly 4,000 mandate sources cited by UN entities in support of their Proposed Programme Budget for 2026. Since then, new features have been added. More than 100 entities have reviewed the citations for their Proposed Programme Plans for 2027, leading to significant reductions in citations.",Action 79,Strengthen mandates.un.org as the central UN registry for mandates and improve its links with mandate registries in other entities.,Action 79,"mandates.un.org will be improved by June, including the updated mandate citations, new functionality, and stronger links with mandate registries in other UN system entities, in line with A/RES/80/251. No further decision of an intergovernmental organ is envisaged at this stage.",p. 36
WP29,Mandate Registries and Tools,To make mandate information and related tools easier for Member States to find and use.,"The pilot version of mandates.un.org was launched in October. It gives Member States a clearer view of the nearly 4,000 mandate sources cited by UN entities in support of their Proposed Programme Budget for 2026. Since then, new features have been added, including tools to compare successive versions of resolutions. A timeline has been set for further improvements. More than 100 entities have reviewed the citations for their Proposed Programme Plans for 2027, leading to significant reductions in citations. Work is also under way on additional digital tools, in line with the requests by Member States in A/RES/80/251.","New features have been added, including tools to compare successive versions of resolutions. Work is under way on additional digital tools, in line with the requests by Member States in A/RES/80/251.",Action 82,Develop additional digital tools to make mandate-related information across the UN system easier to find and use.,Action 82,"Additional digital tools will be introduced in stages, including an improved online chart of the UN system by June, as well as common data standards for registries by December, as requested in A/RES/80/251.",p. 36
WP30,Secretary-General's Reports,"To improve the clarity, relevance and usability of reporting by the Secretary-General.","New internal guidelines have been prepared for word limits and report formats, guided by A/RES/80/251. Opportunities for streamlining the Secretary-General's reporting have also been identified. Steps were completed to launch the display of download counts.","New internal guidelines have been prepared for word limits and report formats, guided by A/RES/80/251.",Action 84,"Issue and update internal guidance on word limits so that reports are shorter, clearer and easier to read; develop updated internal guidelines on reporting formats for different types of requests by Member States.","Actions 84, 86",Internal guidance on word limits and reporting formats will be finalized and disseminated to staff in May. No decision of an intergovernmental organ is envisaged.,p. 37
WP30,Secretary-General's Reports,"To improve the clarity, relevance and usability of reporting by the Secretary-General.","New internal guidelines have been prepared for word limits and report formats, guided by A/RES/80/251. Opportunities for streamlining the Secretary-General's reporting have also been identified. Steps were completed to launch the display of download counts.","New internal guidelines have been prepared for word limits and report formats, guided by A/RES/80/251.",Action 86,"Issue and update internal guidance on word limits so that reports are shorter, clearer and easier to read; develop updated internal guidelines on reporting formats for different types of requests by Member States.","Actions 84, 86",Internal guidance on word limits and reporting formats will be finalized and disseminated to staff in May. No decision of an intergovernmental organ is envisaged.,p. 37
WP30,Secretary-General's Reports,"To improve the clarity, relevance and usability of reporting by the Secretary-General.","New internal guidelines have been prepared for word limits and report formats, guided by A/RES/80/251. Opportunities for streamlining the Secretary-General's reporting have also been identified. Steps were completed to launch the display of download counts.",Opportunities for streamlining the Secretary-General's reporting have been identified.,Action 85,Review overlap and fragmentation in reporting and submit proposals to reduce duplication.,Action 85,"Proposals for adjustments to reporting, including possible combination of reports or changes in periodicity, will be presented to the Ad Hoc Working Group on Mandate Implementation Review by the end of June, in accordance with paragraphs 16 and 33 (d) (ii) of A/RES/80/251.",p. 37
