id,sub_id,work_package_id,indicative_action,indicative_sub_action,work_package_leads,Action Member(s) -- SUPERSEDE,Action Entity(s) -- GET VIA LEADS?,Milestone 1,Milestone 1 Deadline,Milestone Final,Milestone Final - Deadline,tracking_status,action_notes,upcoming_milestone,Delivery Date,work_package_title,workstream_id,Sub-Action,action_lead,Big Ticket,needs_member_state_engagement,intergovernmental_bodies,Scenario for Proposal Advancement,action_status,Legal Consideration/Implication,action_spport,document_paragraph_number,work_package_goal,document_paragraph_text,Scope Definition,un_budgets,action_updates,Milestone 2,Milestone 2 Deadline,FP Specific for WP-Level,action_members,Milestone 3,Milestone 3 Deadline
61,,15,"Prepare a proposal to consolidate the fragmented landscape of basic cloud services, network infrastructures, office software and systems under realigned common providers that can serve the entire UN system, building on lessons from the International Computing Centre",,"['SG ITU', 'USG Policy', 'Co-Chairs DTN']","Kelly Clements, DHC UNHCR, clements@unhcr.org; 
Alexander De Croo, Administrator UNDP, alexander.de.croo@undp.org;
Daren Tang, DG WIPO, daren.tang@wipo.int;
Jens Wandel, SA Reform, jens.wandel@un.org;
Tedros Ghebreyesus, DG WHO, drtedros@who.int;
Sungah Lee, DDG M&R IOM, sungahlee@iom.int","['EOSG (USG Policy)', 'ITU', 'HLCM', 'UNHCR', 'UNDP', 'WIPO', 'EOSG (SA)', 'WHO', 'IOM']","Systemwide ICT baseline info completed: comprehensive mapping of existing ICT capacities, including contracts (spending, suppliers), people/capacities (staffing, shared-service providers), and ongoing consolidation initiatives in HLCM, BIG, IASC, etc.",2026-02-15,"ICT consolidation proposal endorsed by CEB: actions for unified ICT capacities as part of Unified Services Roadmap, including operational shared service delivery leveraging on ICC realignment/reform and other existing ICT shared services model such as UNDP/UN Secretariat ERP as a service, indicating estimated required investments and expected efficiency gains",2026-05-14,Finalized,,Proposal for ICT consolidation options presented to UN System Chief Executives Board for Coordination,2026-05-14,Technology,WS3,,"['USG Policy', 'SG ITU', 'Co-Chairs DTN']",True,,,2. Requiring further work,Further work ongoing,,"Robert Opp, Chief Digital Officer, UNDP, robert.opp@undp.org; Khuloud Odeh, Chief Information Officer, ITU, khuloud.odeh@itu.int;
Sylvain St-Pierre, Chief Information Officer, UNHCR, st-pierre@unhcr.org; Volker Schimmel, Head of Service, UNHCR, schimmel@unhcr.org; 
Karl Kalejs, Chief Information Officer, WIPO, karl.kalejs@wipo.int;
Alexandru Zegrea, Counsellor to the Assistant Director General for Administration, Finance and Management, WIPO, alex.zegrea@wipo.int; 
Biswamber GURUBACHARYA, xxx, WHO, gurubacharyab@who.int; Marietta MUWANGA-SSEVUME, Director ICT, IOM, muwanga@iom.int; 
Richard Maciver, Coordinator Digital and Technology Network, CEB, richard.maciver@un.org; Kersten Jauer, Deputy Director, Strategic Planning Unit, EOSG, jauer@un.org; Talea Von Lupin, Portfolio Manager, EOSG, talea.vonlupin@un.org",78.0,Transformation through technology and new mindsets,"We plan to progressively consolidate the fragmented landscape of basic cloud services, network infrastructures, office software and systems under realigned common providers that can serve the entire UN system, building on lessons from the International Computing Centre. Over time, this will deliver scale, reduce duplication and lower costs.",,,,,,,,,
95,(c),31,"Implement residual actions from Phase II of the Working Group on Efficiencies, not to be included in or relevant for WP#14",ICT consolidation,"['USG DMSPC', 'USG DOS']","Bernardo Mariano Junior, Assistant Secretary-General OICT, bmariano@un.org","['OICT', 'DMSPC', 'DOS']",Pilot begins of Data Center Consolidation initiative; Pending approval of Phase I of the Secretariat ICT Consolidation and Digital Hubs: establishment of first Digital hub in Valencia,2026-01-31,"Pilot concluded, lessons learned exercise completed, Phase I plan created",2026-09-29,Finalized,,Proposals finalized for management consideration,2026-01-31,UN Secretariat efficiencies and improvement,WS1,ICT consolidation,"['USG DMSPC', 'USG DOS']",False,True,['GA'],3. Included in budget estimate,Further work ongoing,GA decision (programme budget) required.,,,,,,,,,,,,,
39,,5,"Propose a model to reconfigure country teams via system-wide working group, chaired by the Deputy Secretary-General",,['DSG'],"Amina J. Mohammed, DSG, Amina.mohammed@un.org;
Jorge Moreira Da Silva, USG UNOPS, jorge.moreiradasilva@unops.org
","['EOSG (ODSG)', 'UNOPS', 'UNSDG']",Outline of the draft proposals presented to the Secretary-General for guidance,2026-01-31,"Recommendations on country configuration finalized for Secretary-General’s consideration, and relayed to Member States in the most appropriate format. ",2026-08-29,Finalized,,System-wide working group convened and building blocks for proposals for UN country teams reconfiguration finalized for the Secretary-General's consideration,2026-03-31,UNCT reconfiguration,WS3,,['DSG'],True,,,2. Requiring further work,Further work ongoing,,"Rahul Malhorta, Director, UNOPS, rahulm@unops.org;
Jean Philippe Bernardini, Senior Political Affairs Officer, EOSG, bernardini@un.org
",54.0,Reconfigured country teams with empowered leadership,"To maximize the use of resources and expertise for delivery, we will propose a model to reconfigure country teams that streamlines physical presence to fewer entities, reduces overhead costs, builds more coherent delivery, and aligns with national priorities. To this end, the system-wide working group, chaired by the Deputy Secretary-General, will make recommendations by early 2026.",,,,,,,,,
12,,24,"Reinforce cooperation on counterterrorism and violent extremism, with clearer reporting lines, joint planning, and resource mobilization.",,"['USG UNODC', 'USG OCT']","John Brandolino, USG UNODC; john.brandolino@un.org; Alexandre Zouev, USG UNOCT, alexandre.zouev@un.org",['UNOCT'],UNOCT will provide a status update on consultations undertaken with the Global Counter-Terrorism Coordination Compact with a view to adopting by June a series of specific measures options to strengthen coordination and coherence,2026-01-30,Global Counter-Terrorism Coordination Compact Committee will have taken a decision and collectively committed to specific measures,2026-06-29,Finalized,,Specific measures to reinforce cooperation on counterterrorism and violent extremism proposed for consideration by the Global Counter-Terrorism Coordination Compact Committee ,2026-06-29,"Drugs, crime, counterterrorism",WS3,,['USG OCT'],False,,,2. Requiring further work,Further work ongoing,,"Mr. Eihab Omaish, Director for Policy and Coordination, UNOCT, omaish@un.org; 
Mr. Mauro Miedico, Director for Capacity Building, UNOCT, mauro.miedico@un.org 
",22.0,Joined up and networked for lasting impact,"We plan to reinforce cooperation on counterterrorism and violent extremism, with clearer reporting lines, joint planning, and resource mobilization. In this context, the Director overseeing the UNODC Terrorism Prevention Branch would also report to the Under-Secretary-General for Counter-Terrorism.",,['RB 2027'],,,,"Mr. Eihab Omaish, Director for Policy and Coordination, UNOCT, omaish@un.org",,,
69,,17,Integrate UN Research Institute for Social Development (UNRISD) into the United Nations University (UNU),,"['ED UNITAR', 'Rector UNU']","Michelle Gyles-McDonnough, ED UNITAR, GYLES-MCDONNOUGH@unitar.org;
Tshilidzi Marwala, Rector UNU (USG), rector@unu.edu","['UNU', 'UNITAR']",UNU Council would have reviewed and endorsed the UN80 report’s recommendations to integrate UNRISD into UNU,2025-04-12,UNU Council endorsed implementation plan and agreed to submit it to the Secretary-General in August 2026,2026-08-30,Finalized,Intermediate milestones available,UNU and UNRISD leadership review administrative framework to gather information regarding integration,2026-03-31,Training and research,WS3,,['Rector UNU'],True,True,"['SG', 'UNU']",2. Requiring further work,Further work ongoing,UNU Council and SG decisions required.,"Xiaomeng Shen, Vice Rector Europe, UNU, shen@ehs.unu.edu;
Sabine Becker-Thierry, Director, UNU, sabine.becker@unu.edu",90.0,"Two pillars, one vision","We plan to integrate UN Research Institute for Social Development (UNRISD) into the United Nations University (UNU). UNIDIR and UNICRI would be consolidated into ODA and UNODC, respectively, to strengthen focus and reduce fragmentation. In all cases, research independence will be fully respected.",,,,"UNU reviewed UNRISD's administrative framework (financial, communications, HR, legal), to gather information regarding integration.",2026-03-30,,,An implementation roadmap (milestones & timelines) 					has been drafted with UNRISD leadership.,2026-04-29
54,,8,Consolidate expertise across all pillars at the regional level as an extension of the expertise-on-demand mechanism outlined in the sustainable development pillar,,"['SG ITU', 'Administrator UNDP']","Ms. Doreen Bogdan-Martin, SG ITU, sgo@itu.int;
Haoliang Xu, Administrator UNDP, haoliang.xu@undp.org;
Mr. Qu Dongyu, DG FAO, director-general@fao.org, dongyu.qu@fao.org;
Mr. Juan Carlos Salazar, SG ICAO, OSGinbox@icao.int, jsalazar@icao.int;
Mr. Gilbert F. Houngbo, DG ILO, ILODirector-General@ilo.org;
Mr Khaled El-Enany, DG UNESCO, dg.secretariat@unesco.org;
Gerd Müller, DG UNIDO, ODG@unido.org;
Mr. Tedros Adhanom Ghebreyesus, DG WHO, dgoffice@who.int;
Ms Celeste Saulo, SG WMO, sgomm@wmo.int;
Ms. Pamela Coke-Hamilton, ED and ASG ITC, cokehamilton@intracen.org, carrasco@intracen.org;
Sima Bahous, ED UN Women sima.bahous@unwomen.org;
Ms. Rebeca Grynspan, SG UNCTAD, rebeca.grynspan@unctad.org;
Mr. Jorge Moreira, Executive Director UNOPS, jorge.moreiradasilva@unops.org;
Mr. Li Junhua, USG DESA, junhua.li@un.org;
Mr. Claver Gatete, USG ECA, cgatete@un.org;
Ms. Tatiana Molcean, Executive Secretary ECE, tatiana.molcean@un.org;
Mr. Jose Manuel Salazar-Xirinachs, Executive Secretary ECLAC jose.salazarx@un.org;
Mr. Mourad Wahba, Acting Executive of ESCWA Secretary  mourad.wahba@un.org

","['ITU', 'UNDP', 'FAO', 'ICAO', 'ILO', 'UNESCO', 'UNIDO', 'WHO', 'WMO', 'ITC', 'UN Women', 'UNOPS', 'ECA', 'ECE', 'ESCWA', 'UNCTAD', 'DESA', 'EOSG (SA)', 'ECLAC']",Initiation of consultations on cross-pillar EOD extension for regional integrated platforms,2026-01-30,EOD ready to enable regional cross-pillar consolidation in integrated platforms: support framework in place,2026-09-17,Finalized,Confirm added co-lead for WP,"Expertise-on-demand approaches operational system-wide, including expertise catalogue and protocols",2026-09-17,Expertise-on-demand mechanism,WS3,,"['SG ITU', 'Administrator UNDP']",True,,,2. Requiring further work,Further work ongoing,,"Tomas Lamanauskas, DSG, ITU, dsg@itu.int;
Linda Maquire, ASG/Director Bureau for Management Services, UNDP, linda.maguire@undp.org;
Beth Crawford, ASG/Director Office of Strategy, Programme and Budget, FAO, beth.crawford@fao.org;
Michiel Vreedenburgh, Chief Transformation Officer, ICAO, MVreedenburgh@icao.int;
Laura Thompson, Assistant Director General External and Corporate Relations, ILO, thompsonl@ilo.org;
Jennifer Linkins, Assistant Director-General for Administration and Management, UNESCO, j.linkins@unesco.org;
Cecilia Ugaz Estrada, Deputy to the Director General, UNIDO, C.UGAZESTRADA@unido.org -tbc;
Bruce Aylward, Senior Advisor to the Director-General, WHO, aylwardb@who.int;
Ko Barrett, DSG, WMO, dsgo@wmo.int;
Mondher Mimouni, Director Division of Market Development, ITC, mimouni@intracen.org;
Nyaradzayi Gumbonzvanda. Deputy Executive Director Normative Support, System Coordination, Programme Results, UN Women, n.gumbonzvanda@unwomen.org;
Rahul Malhotra, -, UNOPS, rahulm@unops.org;
UNCTAD Tbc:
Regional Commissions: 
Thilmeeza Hussain, -, ECA, thilmeeza.hussain@un.org;
Aboubakri Diaw, -, ECA, diaw2@un.org;
Paul John Ladd, -, ECE, paul.ladd@un.org;
Maisaa Youssef, -, ESCWA, youssef8@un.org;
Riwa Nasreddine, -, ESCWA, nasreddine@un.org;
Sandra De Freitas Manuelito  sandra.manuelito@cepal.org, ECLAC;

Support/Advisor:  
Jens Christian Wandel, SA Reform, jens.wandel@un.org

 ",68.0,Unified knowledge hubs and expertise on demand,"We will consolidate expertise across all pillars at the regional level. Capacities on peace and security, rule of law, disarmament, demobilization and reintegration, security sector reform, small arms control, mission transitions, prevention of extremist violence, and counterterrorism will join Regional Integrated Platforms, ready for surge deployment. This will serve as an extension of the expertiseon-
demand mechanism outlined in the sustainable development
pillar (see paragraph 46).",,,,,,,,,
32,,26,Provide support for further analysis on other potential mergers Member States may wish to explore,,['SG'],,['N/A'],(Pending proposals),,(Pending proposals),,Finalized,,Forthcoming,,Other merger review,WS3,,['SG'],False,,,2. Requiring further work,Further work ongoing,,,42.0,Unified support to people and planet,The Secretary-General stands ready to provide further analysis to Member States on other potential mergers they may wish to explore.,,,,,,,,,
42,,9,"Establish a Human Rights Group comprising entities from across the UN system, led by the High Commissioner for Human Rights",,['HC OHCHR'],"Oscar Fernandez Taranco, ASG DCO, fernandez-taranco@un.org;
Rosemary Di Carlo, USG DPPA, rosemary.dicarlo@un.org;
Tom Fletcher, USG OCHA, fletcher@un.org;
Elinor Hammarskjold, USG OLA, hammarskjold@un.org;
Winifred Byanyima, USG UNAIDS, byanyimaw@unaids.org;
Inger Andersen, USG UNEP, inger.andersen@un.org;
Haoliang Xu, ASG UNDP, haoliang.xu@undp.org;
Diene Keita, USG UNFPA, keita@unfpa.org;
Filippo Grandi, USG UNHCR, grandi@unhcr.org;
Catherine Russell, ED UNICEF, crussell@unicef.org;
Sima Sami Bahous, ED UN WOMEN, sima.bahous@unwomen.org;
Khaled El-Enany, ED UNESCO, dg.office@unesco.org","['OHCHR', 'DCO', 'DPPA', 'OCHA', 'OLA', 'UNAIDS', 'UNEP', 'UNDP', 'UNFPA', 'UNHCR', 'UNICEF', 'UNESCO', 'UN Women']",Concept adopted,2026-01-30,Human Rights Group established,2026-03-30,Finalized,,Human Rights Group established,2026-03-30,Human rights group,WS3,,['HC OHCHR'],True,,,1. Within SG authority,Further work ongoing,,"Brands Kehris, Assistant Secretary-General, OHCHR, ilze.brandskehris@un.org;
Karin Lucke, Senior Human Rights Officer, OHCHR, karin.lucke@un.org;
Kevin Turner, Senior Programme Management Officer, kevin.turner@un.org;
Dominique Bush, Special Assistant to the ASG, OHCHR, bushd@un.org",58.0,Unified approach to human rights,"We will establish a Human Rights Group comprising entities from across the UN system, led by the High Commissioner for Human Rights. The Group will ensure that human rights considerations are systematically integrated into UN policies and activities, while also improving efficiency and impact across the system at all levels.","Form a system-wide group to coordinate human rights integration across pillars; align analysis, early warning, and accountability guidance; reduce duplication.",,,,,,,,
20,,2,"Initiate new Humanitarian Data Collaborative, to scale common platforms, collective financing, shared centres, capacities and standards",,['USG OCHA'],"Tom Fletcher, USG OCHA, fletcher@un.org;
Filippo Grandi, HC UNHCR, grandi@unhcr.org;
Catherine Russell, ED UNICEF, crussell@unicef.org;
Cindy McCain, ED WFP, cindy.mccain@wfp.org;
Amy Pope, Director General IOM, dg@iom.int","['OCHA', 'UNHCR', 'UNICEF', 'WFP', 'IOM']","Humanitarian Cluster Data Workplan finalized, including quick wins, starter countries, governance options and a joint data-sharing ambition
",2026-01-30,"Humanitarian Data Collaborative established, scaling platforms, financing and shared capacities and standards",2026-08-30,Finalized,,"Data collaborative established, scaling joint platforms, financing, capacities and standards",2026-08-30,New Humanitarian Compact,WS3,,['USG OCHA'],True,,,2. Requiring further work,Further work ongoing,,"Hansjoerg Strohmeyer, Policy Director, OCHA, strohmeyerh@un.org;
Jean-Martin Bauer, Director, Assessments, Planning, Policy and Research, WFP, jean-martin.bauer@wfp.org
Sarah Telford, Head of Centre for Humanitarian Data, OCHA - telford@un.org
",30.0,Maximizing impact,"A new Humanitarian Data Collaborative will scale common platforms, collective financing, shared centres, capacities and standards, ensuring all actors can work from one evidence base.","Establish shared data standards, platforms, financing arrangements and joint centres to improve data quality, access, analysis and interoperability across humanitarian actors.",,,,,,,,
79,,29,"For the UN Secretariat, refine mandates.un.org to serve as sustainable registry; Other entities to build out similar registries for their mandating bodies",,['USG Policy'],"Library NY, Global Pulse, OPPFB",['EOSG (USG Policy)'],mandates.un.org updated with data for the 2027 Programme Budget and 2026/27 Peacekeeping Budgets and a proposal for sustainability finalized,2026-03-15,mandates.un.org includes full text for 80 percent of mandate sources and links to mandate registries for at least 10 non-UN Secretariat entities,2026-09-15,Finalized,,mandates.un.org updated with data for the proposed 2027 Programme Budget and proposed 2026/27 Peacekeeping Budgets,2026-03-15,Mandate registries and tools,WS2,,['USG Policy'],False,,,1. Within SG authority,Further work ongoing,,,23.1,"Improved visibility, coordination and support for Member States during mandate creation",1. Accelerate the creation of comprehensive registries of existing mandate texts issued by all mandating bodies,,,,,,,,,
81,,19,Prepare an action plan (as part of item 80) to strengthen support by UN entities to coordinate and promote greater visibility across mandating bodies,,"['USG Policy', 'USG DGACM']","Guy Ryder, USG for Policy, guy.ryder@un.org;
Movses Abelian, USG DGACM, abelian@un.org","['EOSG (USG Policy)', 'DGACM']",Mapping of available support of mandate creation system-wide finalized,2026-03-31,A website to coordinate and promote greater visibility across mandating bodies launched,2026-08-30,Finalized,,Mapping of available system-wide support finalized for the Secretary-General's consideration,2026-03-31,Mandate creation support,WS2,,"['USG Policy', 'USG DGACM']",True,,,1. Within SG authority,Further work ongoing,,"Melanie Ramjoue, Senior Programme Officer, EOSG, ramjoue@un.org;
Wannes Lint, Intergovernmental Affairs Officer, DGACM, lint@un.org",23.3,"Improved visibility, coordination and support for member states during mandate creation",3. Strengthen support by UN entities to coordinate and promote greater visibility across the work of mandating bodies,"Build network of secretariat support teams; deploy mandate registries and AI tools to improve transparency, consistency and drafting quality.",,,,,,,,
6,,22,"Consolidate two Assistant Secretary-General posts for the Americas, Europe, Asia-Pacific, Middle East into one",,"['USG DPPA', 'USG DPO']","Rosemary Anne Di Carlo, USG DPPA, rosemary.dicarlo@un.org;
Jean-Pierre Lacroix, USG DPO, jean-pierre.lacroix@un.org","['DPPA', 'DPO']",GA endorses proposed consolidation of two ASG posts and offices,2025-12-31,GA endorses proposed consolidation of two ASG posts and offices,2025-12-31,Finalized,,No longer relevant,,"Prevention, peacebuilding, peace support",WS3,,"['USG DPPA', 'USG DPO']",False,True,['GA'],3. Included in budget estimate,Decision taken,GA decision (programme budget) required.,"Markus Bouillon, Principal Political Affairs Officer, DPPA, bouillonm@un.org;
Marco Bianchini, Principal Political Affairs Officer, DPO, bianchinim@un.org;
Khaled Khiari, Assistant Secretary-General, DPPA-DPO, khaled.khiari@un.org",19.0,Joined up and networked for lasting impact,"We plan to unify leadership within the pillar by consolidating two Assistant Secretary-General posts for the Americas, Europe, Asia-Pacific and the Middle East into one.",,['RB 2026 Rev'],"Decision taken, as per GA resolution 80/242",,,"Khaled Khiari, Assistant Secretary-General, DPPA-DPO, khaled.khiari@un.org",,,
93,,21,"Develop an action plan to strengthen and harmonize management for results mechanisms across the UN system, including how results are measured and communicated",,['SA Reform'],"Jens Wandel, SA Reform EOSG, jens.wandel@un.org;
Fatoumata Ndiay, USG OIOS, ndiaye@un.org;
Doreen Bogdan-Martin, USG ITU, bdtdirector@itu.int;
Francine Pickup, Deputy Director, BPPS francine.pickup@undp.org","['EOSG (SA)', 'ITU', 'OIOS', 'UNDP']",Draft Concept Paper establishing the intellectual foundation for the proposed Action Plan including communication of systemwide results,2026-01-30,Final Action Plan outlining an implementable system-wide 				pathway for a results-based management mechanism / 				communication standards,2026-05-30,Finalized,,Action plan finalized for the Secretary-General's consideration,2026-05-30,System-wide results management,WS2,,['SA Reform'],True,,,1. Within SG authority,Further work ongoing,,"Catalin Marinescu, Head of Strategy and Planning Division, ITU
Clarice Wilson, Director of the UNDP Corporate Performance Unit
Piyoo Kochar, Specialist, BTAD, UN
UN Strategic Planning Network (UNSPN) and Finance and Budget Network under HLCM. ",67.0,Strengthened and harmonized mechanisms to manage for results across the United Nations system,"15. Strengthen and harmonize management for results mechanisms across the UN system, including how results are measured and communicated",Form task force to create a shared results-chain framework usable by Secretariat and agencies; enable reporting coherence.,,,,,,,,
34,,8,"Create a pro-active mechanism UN system-wide expertise on demand, particularly from specialized agencies and non-resident entities",,"['SG ITU', 'Administrator UNDP']","Ms. Doreen Bogdan-Martin, SG ITU, sgo@itu.int;
Haoliang Xu, Administrator UNDP, haoliang.xu@undp.org;
Mr. Qu Dongyu, DG FAO, director-general@fao.org, dongyu.qu@fao.org;
Mr. Juan Carlos Salazar, SG ICAO, OSGinbox@icao.int, jsalazar@icao.int;
Mr. Gilbert F. Houngbo, DG ILO, ILODirector-General@ilo.org;
Mr Khaled El-Enany, DG UNESCO, dg.secretariat@unesco.org;
Gerd Müller, DG UNIDO, ODG@unido.org;
Mr. Tedros Adhanom Ghebreyesus, DG WHO, dgoffice@who.int;
Ms Celeste Saulo, SG WMO, sgomm@wmo.int;
Ms. Pamela Coke-Hamilton, ED and ASG ITC, cokehamilton@intracen.org, carrasco@intracen.org;
Sima Bahous, ED UN Women sima.bahous@unwomen.org;
Ms. Rebeca Grynspan, SG UNCTAD, rebeca.grynspan@unctad.org;
Mr. Jorge Moreira, Executive Director UNOPS, jorge.moreiradasilva@unops.org;
Mr. Li Junhua, USG DESA, junhua.li@un.org;
Mr. Claver Gatete, USG ECA, cgatete@un.org;
Ms. Tatiana Molcean, Executive Secretary ECE, tatiana.molcean@un.org;
Mr. Jose Manuel Salazar-Xirinachs, Executive Secretary ECLAC jose.salazarx@un.org;
Mr. Mourad Wahba, Acting Executive of ESCWA Secretary  mourad.wahba@un.org

","['ITU', 'UNDP', 'FAO', 'ICAO', 'ILO', 'UNESCO', 'UNIDO', 'WHO', 'WMO', 'ITC', 'UN Women', 'UNOPS', 'ECA', 'ECE', 'ESCWA', 'UNCTAD', 'DESA', 'EOSG (SA)', 'ECLAC']","Concept endorsed (legal/financial assessment, catalogue design, and demand protocol and arrangements)",2026-01-30,EOD mechanism ready for system-wide operationalization: catalogue & protocols prepared for activation and institutionalization.,2026-09-17,Finalized,Confirm added co-lead for WP; intermediate milestones available,"Expertise-on-demand approaches operational system-wide, including expertise catalogue and protocols",2026-09-17,Expertise-on-demand mechanism,WS3,,"['SG ITU', 'Administrator UNDP']",True,,,2. Requiring further work,Further work ongoing,,"Tomas Lamanauskas, DSG, ITU, dsg@itu.int;
Linda Maquire, ASG/Director Bureau for Management Services, UNDP, linda.maguire@undp.org;
Beth Crawford, ASG/Director Office of Strategy, Programme and Budget, FAO, beth.crawford@fao.org;
Michiel Vreedenburgh, Chief Transformation Officer, ICAO, MVreedenburgh@icao.int;
Laura Thompson, Assistant Director General External and Corporate Relations, ILO, thompsonl@ilo.org;
Jennifer Linkins, Assistant Director-General for Administration and Management, UNESCO, j.linkins@unesco.org;
Cecilia Ugaz Estrada, Deputy to the Director General, UNIDO, C.UGAZESTRADA@unido.org -tbc;
Bruce Aylward, Senior Advisor to the Director-General, WHO, aylwardb@who.int;
Ko Barrett, DSG, WMO, dsgo@wmo.int;
Mondher Mimouni, Director Division of Market Development, ITC, mimouni@intracen.org;
Nyaradzayi Gumbonzvanda. Deputy Executive Director Normative Support, System Coordination, Programme Results, UN Women, n.gumbonzvanda@unwomen.org;
Rahul Malhotra, -, UNOPS, rahulm@unops.org;
UNCTAD Tbc: 
Regional Commissions: 
Thilmeeza Hussain, -, ECA, thilmeeza.hussain@un.org;
Aboubakri Diaw, -, ECA, diaw2@un.org;
Paul John Ladd, -, ECE, paul.ladd@un.org;
Maisaa Youssef, -, ESCWA, youssef8@un.org;
Riwa Nasreddine, -, ESCWA, nasreddine@un.org;
Sandra De Freitas Manuelito  sandra.manuelito@cepal.org, ECLAC;

Support/Advisor:  
Jens Christian Wandel, SA Reform, jens.wandel@un.org


 ",46.0,Unified knowledge hubs and expertise on demand,"We will create a pro-active mechanism to identify and channel to Member States and country teams on-demand, UN system-wide expertise, particularly from specialized agencies and non-resident entities. Over time, this will replace duplicative UN system capacities, with co-location, delegation and regular reviews to eliminate overlaps.  ",,,,"Launch the Expertise-on-Demand pilot in selected countries or areas to test the operational model, catalogue, and UNCT-level protocols, while activating pre-agreed global, regional, and country-specific SLAs and service bundles.",2026-06-14,,,,
13,,24,The Director overseeing the UNODC Terrorism Prevention Branch would also report to the Under-Secretary-General for Counter-Terrorism.,,"['USG UNODC', 'USG OCT']","John Brandolino, USG UNODC; john.brandolino@un.org; Alexandre Zouev, USG UNOCT, alexandre.zouev@un.org","['UNOCT', 'UNODC']",Action Members (principals) meet at least two times to discuss ideas,2026-01-30,The Director overseeing the UNODC Terrorism Prevention Branch would also report to the Under-Secretary-General for Counter-Terrorism,2026-03-30,Finalized,,Reporting arrangements for the Director overseeing the UNODC Terrorism Prevention Branch adjusted to include the Under-Secretary-General for Counter-Terrorism,2026-03-30,"Drugs, crime, counterterrorism",WS3,,"['USG UNODC', 'USG OCT']",False,,['SG'],1. Within SG authority,Further work ongoing,SG direction required.,"Mr. Eihab Omaish, Director for Policy and Coordination, UNOCT, omaish@un.org; 
Mr. Mauro Miedico, Director for Capacity Building, UNOCT, mauro.miedico@un.org;
Ms. Oguljeren Niyazberdiyeva, Chief, Officer of the Under-Secretary-General, UNOCT, niyazberdiyeva@un.org;
Mr. Mehdi Knani, Chief of Section, Front Office/OUSG, UNOCT, mehdi.knani@un.org;
Ms. Tamara Anderson, Chief of Section, Policy, Knowledge and Coordination Branch, UNOCT, andersont@un.org;
Roberto Arbitrio, Chief, Terrorism Prevention Branch, UNODC, roberto.arbitrio@un.org;
Kate Fitzpatrick, Chief, Implementation Support Section, UNODC, kate.fitzpatrick@un.org;
Alejandro Matta Maya, Policy Coordination Officer, UNODC, alejandro.matta@un.org;",22.0,Joined up and networked for lasting impact,"We plan to reinforce cooperation on counterterrorism and violent extremism, with clearer reporting lines, joint planning, and resource mobilization. In this context, the Director overseeing the UNODC Terrorism Prevention Branch would also report to the Under-Secretary-General for Counter-Terrorism.",,['RB 2027'],,,,"Mr. Eihab Omaish, Director for Policy and Coordination, UNOCT, omaish@un.org",,,
8,,22,Integrate the UN Mission to Support the Hudaydah Agreement into the Office of the Special Envoy for Yemen,,"['USG DPPA', 'USG DPO']","Rosemary Anne Di Carlo, USG DPPA, rosemary.dicarlo@un.org;
Khaled Khiari, ASG DPPA-DPO, khaled.khiari@un.org","['DPPA', 'DPO']",Security Council decision on integration,2026-01-30,Revised budget for and implementation of integration,2026-12-30,Attention to timeline,Review final deadline to ensure checkpoint on impact of action before end of December 2026,Forthcoming,,"Prevention, peacebuilding, peace support",WS3,,"['USG DPPA', 'USG DPO']",False,True,['SC'],2. Requiring further work,Further work ongoing,Security Council decision required.,"Markus Bouillon, Principal Political Affairs Officer, DPPA, bouillonm@un.org;
OASG MEAP",20.0,Joined up and networked for lasting impact,"Integrate the UN Mission to Support the Hudaydah Agreement into the Office of the Special Envoy for Yemen, in line with Security Council resolution 2786 (2025).",,['RB 2026 Rev'],,,,,,,
37,,6,"Systematize the practice of hosting regional capacities within the Regional Economic Commissions, starting with DCO regional directors and teams",,['DSG'],"Amina J. Mohammed, DSG, Amina.mohammed@un.org;
Izumi Nakamitsu, USG ODA, nakamitsu@un.org;
Oscar Fernandez Taranco, ASG DCO, fernandez-taranco@un.org ","['EOSG (ODSG)', 'ODA', 'DCO', 'UNSDG']","Develop initial proposals for co-hosting for further consultation, taking into consideration the unique regional needs and contexts",2026-01-30,"Relocation of respective offices to be hosted by RECs is complete or ongoing, according to implementation plan developed for each region by 29 May 2026",2026-05-28,Finalized,,Proposal for hosting regional capacities within the regional economic commissions is developed for the Secretary-General's consideration,2026-03-31,Regional reset,WS3,,['DSG'],True,True,['GA'],2. Requiring further work,Further work ongoing,GA decision (programme budget) is required,"Jean Philippe Bernardini, Senior Political Affairs Officer, EOSG, bernardini@un.org;
Nadia Hadi, Chief of Staff, DCO, hadin@un.org;
Thilmeeza Hussain, Director, Regional Commission Office,  thilmeeza.hussain@un.org  ",51.0,Integrated regional support for stronger delivery,"We will systematize the practice of hosting regional capacities within the Regional Economic Commissions, starting with DCO regional directors and teams, as well as other Secretariat functions.  ",,['RB 2027'],,,,,,,
